cache_size	 cache_line_size	 associativity	 data_size	 time
32768	16	2	25	67315
32768	16	2	50	89183
32768	16	2	100	98159
32768	16	2	200	110352
32768	16	2	300	122575
32768	16	4	25	67316
32768	16	4	50	89174
32768	16	4	100	98166
32768	16	4	200	110368
32768	16	4	300	122594
32768	32	2	25	67206
32768	32	2	50	89161
32768	32	2	100	97958
32768	32	2	200	109983
32768	32	2	300	121972
32768	32	4	25	67219
32768	32	4	50	89170
32768	32	4	100	97955
32768	32	4	200	109999
32768	32	4	300	121987
65536	16	2	25	67340
65536	16	2	50	89204
65536	16	2	100	98183
65536	16	2	200	110366
65536	16	2	300	122595
65536	16	4	25	67340
65536	16	4	50	89203
65536	16	4	100	98180
65536	16	4	200	110382
65536	16	4	300	122579
65536	32	2	25	67230
65536	32	2	50	89181
65536	32	2	100	97963
65536	32	2	200	109979
65536	32	2	300	121982
65536	32	4	25	67234
65536	32	4	50	89176
65536	32	4	100	97967
65536	32	4	200	109992
65536	32	4	300	121973
131072	16	2	25	67382
131072	16	2	50	89232
131072	16	2	100	98210
131072	16	2	200	110424
131072	16	2	300	122629
131072	16	4	25	67379
131072	16	4	50	89249
131072	16	4	100	98226
131072	16	4	200	110414
131072	16	4	300	122652
131072	32	2	25	67250
131072	32	2	50	89198
131072	32	2	100	97987
131072	32	2	200	110021
131072	32	2	300	122003
131072	32	4	25	67237
131072	32	4	50	89196
131072	32	4	100	97984
131072	32	4	200	110010
131072	32	4	300	122000
262144	16	2	25	67465
262144	16	2	50	89329
262144	16	2	100	98301
262144	16	2	200	110504
262144	16	2	300	122706
262144	16	4	25	67466
262144	16	4	50	89325
262144	16	4	100	98301
262144	16	4	200	110508
262144	16	4	300	122689
262144	32	2	25	67291
262144	32	2	50	89237
262144	32	2	100	98033
262144	32	2	200	110048
262144	32	2	300	122028
262144	32	4	25	67289
262144	32	4	50	89236
262144	32	4	100	98014
262144	32	4	200	110050
262144	32	4	300	122039