cache_size	 cache_line_size	 associativity	 matrix_size	 time
32768	16	2	50	4975
32768	16	2	100	64173
32768	16	2	200	329538
32768	16	2	300	1031253
32768	16	2	400	3064415
32768	16	2	500	8280114
32768	16	2	600	15757955
32768	16	2	700	26560734
32768	16	2	800	39451870
32768	16	4	50	4990
32768	16	4	100	34177
32768	16	4	200	249368
32768	16	4	300	897754
32768	16	4	400	2435811
32768	16	4	500	7515077
32768	16	4	600	16837418
32768	16	4	700	27122119
32768	16	4	800	39463097
32768	32	2	50	4953
32768	32	2	100	62096
32768	32	2	200	566151
32768	32	2	300	1861066
32768	32	2	400	4537602
32768	32	2	500	9137241
32768	32	2	600	15787455
32768	32	2	700	25128281
32768	32	2	800	37450491
32768	32	4	50	4956
32768	32	4	100	34706
32768	32	4	200	345813
32768	32	4	300	1918228
32768	32	4	400	4680679
32768	32	4	500	9202254
32768	32	4	600	15805202
32768	32	4	700	25129314
32768	32	4	800	37504042
65536	16	2	50	4988
65536	16	2	100	34417
65536	16	2	200	285859
65536	16	2	300	818352
65536	16	2	400	1914546
65536	16	2	500	7175943
65536	16	2	600	8341625
65536	16	2	700	14343399
65536	16	2	800	39451355
65536	16	4	50	5007
65536	16	4	100	33959
65536	16	4	200	249311
65536	16	4	300	818417
65536	16	4	400	1914773
65536	16	4	500	3806770
65536	16	4	600	6949859
65536	16	4	700	13408085
65536	16	4	800	39442182
65536	32	2	50	4956
65536	32	2	100	34886
65536	32	2	200	563721
65536	32	2	300	951984
65536	32	2	400	2784187
65536	32	2	500	7179961
65536	32	2	600	14765380
65536	32	2	700	24223046
65536	32	2	800	37453207
131072	16	2	50	5041
131072	16	2	100	33956
131072	16	2	200	249327
131072	16	2	300	818322
131072	16	2	400	1914476
131072	16	2	500	3852742
131072	16	2	600	7309882
131072	16	2	700	10061155
131072	16	2	800	19012009
131072	16	4	50	5029
131072	16	4	100	33944
131072	16	4	200	249315
131072	16	4	300	818358
131072	16	4	400	1914496
131072	16	4	500	3776158
131072	16	4	600	6365425
131072	16	4	700	10061823
131072	16	4	800	18174312
131072	32	2	50	4989
131072	32	2	100	33913
131072	32	2	200	265297
131072	32	2	300	828393
131072	32	2	400	2340477
131072	32	2	500	3970019
131072	32	2	600	7806602
131072	32	2	700	12846422
131072	32	2	800	20326547
131072	32	4	50	4983
131072	32	4	100	33905
131072	32	4	200	269584
131072	32	4	300	818307
131072	32	4	400	1914307
131072	32	4	500	3824040
131072	32	4	600	6563939
131072	32	4	700	12695757
131072	32	4	800	18832761
262144	16	2	50	5120
262144	16	2	100	34034
262144	16	2	200	249328
262144	16	2	300	818352
262144	16	2	400	1914540
262144	16	2	500	3706038
262144	16	2	600	6365089
262144	16	2	700	10060885
262144	16	2	800	14983148
262144	16	4	50	5125
262144	16	4	100	34024
262144	16	4	200	249322
262144	16	4	300	818401
262144	16	4	400	1914585
262144	16	4	500	3706111
262144	16	4	600	6365207
262144	16	4	700	10061193
262144	16	4	800	14983831
262144	32	2	50	5019
262144	32	2	100	33946
262144	32	2	200	249245
262144	32	2	300	818200
262144	32	2	400	1914300
262144	32	2	500	3705817
262144	32	2	600	6364772
262144	32	2	700	10060691
262144	32	2	800	14980510
262144	32	4	50	5004
262144	32	4	100	33947
262144	32	4	200	249232
262144	32	4	300	818230
262144	32	4	400	1914308
262144	32	4	500	3705928
262144	32	4	600	6364919
262144	32	4	700	10061064
262144	32	4	800	14981410