cache_size	 cache_line_size	 associativity	 data_size	 time
32768	16	2	4000	14080937
32768	16	2	7000	44495984
32768	16	2	10000	90756614
32768	16	4	4000	14080911
32768	16	4	7000	44511285
32768	16	4	10000	90799907
32768	32	2	4000	14080849
32768	32	2	7000	43819474
32768	32	2	10000	89361420
65536	16	2	4000	14080964
65536	16	2	7000	43122128
65536	16	2	10000	89508117
65536	16	4	4000	14080944
65536	16	4	7000	43122105
65536	16	4	10000	90498575
65536	32	2	4000	14080862
65536	32	2	7000	43122005
65536	32	2	10000	88744443
65536	32	4	4000	14080880
65536	32	4	7000	43121988
65536	32	4	10000	89230266
131072	16	2	4000	14081053
131072	16	2	7000	43122202
131072	16	2	10000	88003888
131072	16	4	4000	14081047
131072	16	4	7000	43122227
131072	16	4	10000	88003880
131072	32	2	4000	14080895
131072	32	2	7000	43122032
131072	32	2	10000	88003611
131072	32	4	4000	14080897
131072	32	4	7000	43122049
131072	32	4	10000	88003585
262144	16	2	4000	14081197
262144	16	2	7000	43122378
262144	16	2	10000	88003986
262144	16	4	4000	14081199
262144	16	4	7000	43122365
262144	16	4	10000	88004033
262144	32	2	4000	14081000
262144	32	2	7000	43122100
262144	32	2	10000	88003700
262144	32	4	4000	14080997
262144	32	4	7000	43122114
262144	32	4	10000	88003701